LATITUDE, LONGITUDE,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18
40.28125,-122.15464,15.99400,15.08000,14.66500,14.00600,14.11400,13.18400,12.86900,14.12200,14.15600,15.18600,15.10900,15.92800,16.41200,15.75700,14.53400,16.93100,17.40200,15.26200,15.48800
40.27410,-122.18872,14.69700,14.19300,13.55200,12.26200,12.31400,12.30600,12.40700,13.30100,13.54400,14.23300,14.12200,15.74300,15.54900,14.95900,14.42500,16.08500,16.73900,14.83700,14.98100
40.25979,-122.25687,12.90200,12.81700,12.33900,11.99800,12.07700,11.40200,12.14800,12.76200,12.92600,13.27700,13.04700,13.24800,15.32700,14.58400,13.87900,15.34900,15.68400,14.05900,14.61900
40.29788,-121.94072,15.24800,14.86100,14.54100,13.39400,13.40000,12.45700,13.97600,15.33700,13.33400,14.36000,15.38500,14.86800,16.24500,15.90100,16.82600,16.12500,15.77800,14.09400,14.66800
40.25524,-122.14529,15.90200,14.91100,14.47100,14.24000,13.87800,12.92700,12.65000,13.89100,14.09700,14.93100,15.06300,15.80300,16.28000,15.76900,14.59400,16.21900,16.55800,14.58100,15.41900
40.24810,-122.17936,15.07000,13.93100,13.48300,13.37600,13.58900,12.36800,12.50700,12.71600,13.55600,14.30500,14.17200,13.91600,15.43600,15.21300,14.70600,16.46900,15.37100,14.58100,15.01900
40.22663,-122.28153,12.35600,12.62000,12.28300,11.79800,11.80800,11.37500,11.54400,12.46200,12.76500,12.88300,12.56100,13.45400,15.06400,14.27200,13.72300,14.91300,13.77100,14.03200,14.66300
40.22924,-122.13594,15.00800,14.42900,14.09000,13.79000,13.35900,12.53300,12.41500,13.11000,13.58400,14.63300,14.51900,15.54600,15.15700,15.38800,14.47500,15.87500,15.19000,14.14700,14.91900
40.22210,-122.17000,14.53300,13.79200,13.25900,13.52100,13.35300,12.37100,12.36900,12.91300,13.30000,14.09200,14.08400,14.44600,14.61300,15.11900,15.12500,16.24400,14.65200,14.19300,14.88200
40.20063,-122.27214,12.54200,12.85800,12.34500,11.40500,11.63900,11.57000,11.51200,12.27500,12.43400,12.76400,12.60400,12.96600,14.87600,14.41300,13.41700,14.03200,13.88400,13.69100,14.34400
40.19345,-122.30617,12.11500,12.53300,11.85800,12.00500,11.71400,11.52400,11.45600,11.87500,12.58800,12.68900,11.84200,12.82900,14.87400,14.33200,13.59800,13.84400,13.87600,13.81600,14.50600
40.24583,-121.92217,14.51200,14.74100,14.16800,13.00700,12.33200,12.72200,12.75100,15.10600,13.27100,14.14400,14.54600,14.16800,15.19500,15.56500,15.91900,15.22400,14.54000,13.93800,14.97700
40.20323,-122.12661,14.76400,14.01100,13.95200,13.58300,13.09100,12.20800,12.10700,12.57900,13.04000,14.43900,14.07900,14.47800,14.89400,15.00200,14.61900,15.68200,14.20200,13.82800,14.47600
40.17463,-122.26276,11.87000,12.77900,12.17700,11.14500,11.53600,11.57000,11.37500,12.11300,11.95600,12.61700,12.40400,12.69800,14.57400,14.41300,13.05400,13.61900,13.95900,13.49100,14.04400
