FID,TARGET_FID,OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len,ORIG_FID,STATE,ZONE,CWA,NAME,STATE_ZONE,TIME_ZONE,FE_AREA,LON,LAT
11,11,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
12,12,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
13,13,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
14,14,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
15,15,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
16,16,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
17,17,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
18,18,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
19,19,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
20,20,62836,300048,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,California Independent System Operator,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,BELDEN,ROCK CREEK,22295.84217,0,CA,268,STO,Northern Sierra Including Lassen NP and Plumas and Lassen NF/S West of the Sierra Crest - West of Evans Peak/Grizzly Peak/Beckworth Peak,CA268,P,nn,-121.3501,40.1971
