FID,TARGET_FID,OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len,ORIG_FID,STATE,ZONE,CWA,NAME,STATE_ZONE,TIME_ZONE,FE_AREA,LON,LAT
356,356,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
357,357,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
358,358,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
359,359,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
360,360,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
361,361,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
362,362,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
363,363,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
364,364,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
365,365,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
366,366,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
367,367,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
368,368,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
369,369,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
370,370,64388,301622,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,DELEVAN,VACA-DIXON,147568.1996,11,CA,216,STO,Central Sacramento Valley including Glenn/Colusa/Yuba/Northern Sutter/Butte County Below 1000 Ft,CA216,P,cc,-121.971,39.3666
371,371,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
372,372,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
373,373,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
374,374,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
375,375,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
376,376,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
377,377,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
378,378,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
379,379,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
380,380,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
381,381,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
382,382,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
383,383,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
384,384,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
385,385,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
386,386,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
387,387,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
388,388,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
389,389,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
390,390,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
391,391,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
392,392,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
393,393,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
394,394,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
395,395,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
396,396,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
397,397,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
398,398,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
399,399,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
400,400,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
401,401,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
402,402,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
403,403,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
404,404,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
405,405,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
406,406,64389,301623,AC,IN SERVICE,221121,ELECTRIC POWER TRANSMISSION SYSTEMS,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017-01-01T00:00:00.000Z,IMAGERY/OTHER,2017-01-01T00:00:00.000Z,PACIFIC GAS & ELECTRIC COMPANY,230,220-287,N,COTTONWOOD,DELEVAN,150792.8085,12,CA,215,STO,Northern Sacramento Valley to Southern Tehama County Line Below 1000 Ft,CA215,P,nn,-122.2949,40.2198
